chart,position,song,artist,album
2206,49,Love Me Harder,"Ariana Grande, The Weeknd",Sweetener
2206,50,R.E.M.,Ariana Grande,Sweetener
2207,1,Too Dead Inside,yeule,Glitch Princess
2207,2,Naturally,Tinashe,333
2207,3,Glory,Snail Mail,Valentine
2207,4,Madonna,Snail Mail,Valentine
2207,5,Sex,The 1975,The 1975
2207,6,Neighbors Know My Name,2 Chainz,Dope Don't Sell Itself
2207,7,Girl,Jamie xx,In Colour
2207,8,Fearmonger,"Saba, Daoud",Few Good Things
2207,9,Robbers,The 1975,The 1975
2207,10,Rollin',Brave Girls,Rollin'
2207,11,Want U Back,Cher Lloyd,Sticks + Stones
2207,12,LOVE BOMB,fromis_9,From.9
2207,13,The Reeling,Passion Pit,Manners
2207,14,Secret,"Raveena, Vince Staples",Asha's Awakening
2207,15,Zimzalabim,Red Velvet,The Reve Festival Day 1
2207,16,Forever (Sailing),Snail Mail,Valentine
2207,17,Feels Good to Be High,WALK THE MOON,What If Nothing
2207,18,Gospel for a New Century,Yves Tumor,Heaven to a Tortured Mind
2207,19,What It Is,Amber Mark,Three Dimensions Deep
2207,20,Miss Missing You,Fall Out Boy,Save Rock and Roll
2207,21,I Know There's Gonna Be (Good Times),"Jamie xx, Young Thug, Popcaan",In Colour
2207,22,Loud Places,"Jamie xx, Romy",In Colour
2207,23,Well Rested,Kero Kero Bonito,Civilisation
2207,24,Get Innocuous!,LCD Soundsystem,Sound of Silver
2207,25,Dingga,MAMAMOO,TRAVEL
2207,26,SAOKO,ROSALÍA,MOTOMAMI
2207,27,Automate,Snail Mail,Valentine
2207,28,Ben Franklin,Snail Mail,Valentine
2207,29,Heart Out,The 1975,Notes on a Conditional Form
2207,30,What Should I Say,The 1975,Notes on a Conditional Form
2207,31,FANCY,TWICE,FANCY YOU
2207,32,One,Amber Mark,Three Dimensions Deep
2207,33,Boys Don't Cry,Anitta,Versions Of Me
2207,34,Higher,Carly Rae Jepsen,Emotion: Side B
2207,35,Heaven Or Las Vegas,Cocteau Twins,Heaven or Las Vegas
2207,36,Levitating,Dua Lipa,Future Nostalgia
2207,37,LA DI DA,EVERGLOW,-77.82X-78.29
2207,38,The Mighty Fall,"Fall Out Boy, Big Sean",Save Rock and Roll
2207,39,Absolute,Foxes,The Kick
2207,40,Violence,"Grimes, i_o",Miss Anthropocene
2207,41,Celebrity Skin,Hole,Celebrity Skin
2207,42,Very Very Very,I.O.I,Miss Me?
2207,43,Wat U Sed,"Isaiah Rashad, Doechii, Kal Banx",
2207,44,Hurt Me So Good,Jazmine Sullivan,Heaux Tales
2207,45,The Art of Peer Pressure,Kendrick Lamar,"good kid, m.A.A.d city"
2207,46,Happy New Year,Let's Eat Grandma,Two Ribbons
2207,47,Chaeri,Magdalena Bay,Mercurial World
2207,48,Domino,Magdalena Bay,Mercurial World
2207,49,Follow the Leader,Magdalena Bay,Mercurial World
2207,50,Secrets (Your Fire),Magdalena Bay,Mercurial World
2208,1,HANN (Alone),(G)I-DLE,
2208,2,LATATA,(G)I-DLE,I am
2208,3,Goldie,A$AP Rocky,LONG.LIVE.A$AP
2208,4,Pink Funeral,Beach House,Once Twice Melody
2208,5,Superstar,Beach House,Once Twice Melody
2208,6,Girl,Jamie xx,In Colour
2208,7,Meet The Frownies,Mr Twin Sister,
2208,8,New Romance,Beach House,Once Twice Melody
2208,9,Panorama,IZ*ONE,One-reeler
2208,10,I Know There's Gonna Be (Good Times),"Jamie xx, Young Thug, Popcaan",In Colour
2208,11,Loud Places,"Jamie xx, Romy",In Colour
2208,12,The Recipe,"Kendrick Lamar, Dr. Dre","good kid, m.A.A.d city"
2208,13,The Beginning,Magdalena Bay,Mercurial World
2208,14,Chasing Shadows,Santigold,99 Cents
2208,15,Dumhdurum,Apink,LOOK
2208,16,Two Ghosts,Harry Styles,Harry Styles
2208,17,On Sight,Kanye West,Yeezus
2208,18,Send It Up,Kanye West,Yeezus
2208,19,Money Trees,"Kendrick Lamar, Jay Rock","good kid, m.A.A.d city"
2208,20,Well Rested,Kero Kero Bonito,Civilisation
2208,21,A World Alone,Lorde,Pure Heroine
2208,22,Chaeri,Magdalena Bay,Mercurial World
2208,23,O.O,NMIXX,AD MARE
2208,24,SAOKO,ROSALÍA,MOTOMAMI
2208,25,Wasted Times,The Weeknd,My Dear Melancholy
2208,26,Feel Special,TWICE,Feel Special
2208,27,CORSO,"Tyler, The Creator",Call Me If You Get Lost
2208,28,Uh-Oh,(G)I-DLE,
2208,29,ringtone,100 gecs,1000 gecs
2208,30,Phoenix,A$AP Rocky,LONG.LIVE.A$AP
2208,31,Wild For The Night,"A$AP Rocky, Skrillex, Birdy Nam Nam",LONG.LIVE.A$AP
2208,32,Loose Rap,"Aaliyah, Static Major",Aaliyah
2208,33,Next Level,aespa,
2208,34,Bliss,Amber Mark,Three Dimensions Deep
2208,35,I'm so sick,Apink,One & Six
2208,36,505,Arctic Monkeys,Favourite Worst Nightmare
2208,37,Sometimes,Ariana Grande,Dangerous Woman
2208,38,Many Nights,Beach House,Once Twice Melody
2208,39,Masquerade,Beach House,Once Twice Melody
2208,40,Only You Know,Beach House,Once Twice Melody
2208,41,Over and Over,Beach House,Once Twice Melody
2208,42,Rollin',Brave Girls,Rollin'
2208,43,Gone,"Charli XCX, Christine and the Queens",Charli
2208,44,Les,Childish Gambino,Camp
2208,45,Never Be Like You,"Flume, Kai",Skin
2208,46,Say It,"Flume, Tove Lo",Skin
2208,47,Nights,Frank Ocean,Blonde
2208,48,Very Very Very,I.O.I,Miss Me?
